qst_deliver_message|تسليم رسالة إلى {s13}
qst_deliver_message_text|طلب منك {s9} أن تأخذ رسالة إلى {s13}. كان {s13} في {s4} عندما تم تكليفك بهذه المهمة.
qst_deliver_message_to_enemy_lord|تسليم رسالة إلى {s13}
qst_deliver_message_to_enemy_lord_text|طلب منك {s9} أن تأخذ رسالة إلى {s13} من {s15}. كان {s13} في {s4} عندما تم تكليفك بهذه المهمة.
qst_raise_troops|تجنيد {reg1} من {s14}
qst_raise_troops_text|طلب منك {s9} تجنيد {reg1} من {s14} وإحضارهم إليه/إليها.
qst_escort_messenger|مرافقة الرسول إلى {s14}
qst_escort_messenger_text|طلب منك {s9} مرافقة رسوله بأمان إلى {s14}.
qst_hunt_down_fugitive|مطاردة الهارب {s4}
qst_hunt_down_fugitive_text|طلب منك {s9} مطاردة الهارب المسمى {s4}. يُعتقد حاليًا أنه موجود في {s3}.
qst_bring_back_runaway_serfs|إعادة العبيد الهاربين
qst_bring_back_runaway_serfs_text|طلب منك {s9} إعادة المجموعات الثلاث من العبيد الهاربين إلى {s2}. قال إن المجموعات الثلاث يجب أن تكون هاربة في اتجاه {s3}.
qst_follow_spy|تتبع الجاسوس إلى مكان اللقاء
qst_follow_spy_text|طلب منك {s11} تتبع الجاسوس الذي سيغادر {s12}. يجب أن تكون حريصًا على ألا يراك الجاسوس أثناء رحلته، وإلا فقد يشتبه في الأمر ويعود أدراجه. بمجرد أن يلتقي الجاسوس بزميله، عليك نصب كمين والقبض عليهما وإعادتهما إلى {s11}.
qst_capture_enemy_hero|أسر قائد من العدو
qst_capture_enemy_hero_text|طلب منك {s11} أسر قائد من العدو.
qst_lend_companion|إعارة رفيقك {s3} إلى {s9}
qst_lend_companion_text|طلب منك {s9} إعارة رفيقك {s3} إليه لمدة أسبوع.
qst_capture_prisoners|إحضار {reg1} من أسرى العدو
qst_capture_prisoners_text|أراد منك {s9} إحضار {reg1} من أسرى العدو إليه.
qst_investigate_fangorn|التحقيق في فانغورن
qst_investigate_fangorn_text|طلب منك {s9} معرفة ما يحدث في غابة فانغورن، وإبلاغه بالنتائج.
qst_capture_troll|أسر قزم (ترول)
qst_capture_troll_text|طلب منك {s9} إحضار قزم متوحش لاستخدامه في جيشه.
qst_kill_troll|التخلص من القزم الهائج
qst_kill_troll_text|طلب منك {s9} تخليص {s13} من تهديد قزم يهيج في ضواحيها.
qst_mirkwood_sorcerer|قتل ساحر في ميركوود
qst_mirkwood_sorcerer_text|لقد تم تقويض قدرة غالادرييل على الدفاع عن لوثلورين بسبب الطقوس النجسة لساحر من دول غولدور. على الرغم من كونه بشريًا، إلا أنه يمثل تهديدًا كبيرًا للجان. ابحث عنه في غابة ميركوود، ليس بعيدًا عن دول غولدور نفسها. استخدم التسلل لمنع إطلاق الإنذار حيث لن تكون هناك سوى فرصة واحدة لهزيمته.
qst_find_lost_spears|العثور على رماح الملك بلادورثين المفقودة
qst_find_lost_spears_text|طلب منك {s9} العثور على الرماح المفقودة التي صنعها الأقزام ذات يوم للملك بلادورثين. عليك أن تطلب من الأقزام الإذن للبحث عن الرماح في أعماق الجبل الوحيد.
qst_defend_village|الدفاع عن القرية
qst_raid_village|الإغارة على القرية
qst_destroy_scout_camp|تدمير معسكر الكشافة
qst_rescue_prisoners|إنقاذ {reg1} من الأسرى
qst_rescue_prisoners_text|أراد منك {s9} إنقاذ {reg1} من الأسرى.
qst_scout_enemy_town|استكشاف بلدة العدو
qst_scout_enemy_town_text|طلب منك {s9} الاستكشاف حول {s13}.
qst_dispatch_scouts|القضاء على مجموعة كشافة
qst_dispatch_scouts_text|طلب منك {s9} القضاء على مجموعة كشافة بالقرب من {s13}.
qst_eliminate_patrols|القضاء على {reg1} من مجموعات العدو
qst_eliminate_patrols_text|طلب منك {s9} القضاء على {reg1} من مجموعات العدو {s13}.
qst_lend_surgeon|إعارة جراحك {s3} إلى {s1}
qst_lend_surgeon_text|إعارة جراحك المتمرس {s3} إلى {s1}.
qst_follow_army|اتباع جيش {s9}
qst_follow_army_text|طلب منك {s9} اتباع جيشه.
