p_town_minas_tirith|미나스 티리스
p_town_pelargir|펠라르기르
p_town_linhir|린히르
p_town_dol_amroth|돌 암로스
p_town_edhellond|에델론드
p_town_lossarnach|롯사르나흐
p_town_tarnost|타르노스트
p_town_erech|에레크
p_town_pinnath_gelin|피나스 겔린
p_town_west_osgiliath|서 오스길라아스
p_town_henneth_annun|헤네스 아눈
p_town_cair_andros|카이르 안드로스
p_town_calembel|칼렘벨
p_town_edoras|에도라스
p_town_aldburg|알드버그
p_town_hornburg|혼버그
p_town_east_emnet|동 엠넷
p_town_westfold|웨스트폴드
p_town_west_emnet|서 엠넷
p_town_eastfold|이스트폴드
p_town_morannon|모란논
p_town_minas_morgul|미나스 모르굴
p_town_cirith_ungol|오크 정찰병 캠프
p_town_east_osgiliath|동 오스길리아스
p_town_orc_sentry_camp|오크 경비병 캠프
p_town_isengard|아이센가드
p_town_urukhai_outpost|우르크 하이 전초기지
p_town_urukhai_h_camp|우르크 하이 사냥 캠프
p_town_urukhai_r_camp|우르크 하이 강변 캠프
p_town_caras_galadhon|카라스 갈라돈
p_town_cerin_dolen|세린 돌렌
p_town_cerin_amroth|세린 암로스
p_town_thranduils_halls|스란두일의 회관
p_town_woodelf_camp|우드엘프 캠프
p_town_woodelf_west_camp|우드엘프 서쪽 캠프
p_town_woodsmen_village|숲사람 마을
p_town_beorning_village|베오른족마을
p_town_beorn_house|베오른의 집
p_town_moria|모리아의 문
p_town_troll_cave|트롤 동굴
p_town_dale|데일
p_town_esgaroth|에스가로스
p_town_dunland_camp|던랜드인 캠프
p_town_harad_camp|하라드림 캠프
p_town_khand_camp|칸드 캠프
p_town_umbar_camp|해적 캠프
p_town_imladris_camp|리븐델 캠프
p_town_dol_guldur|돌 굴두르
p_town_dol_guldur_north_outpost|돌 굴두르 북쪽 전초기지
p_town_rhun_main_camp|룬 중심 캠프
p_town_rhun_south_camp|룬 남쪽 전초기지
p_town_rhun_north_camp|룬 북쪽 전초기지
p_town_gundabad|군다바드
p_town_gundabad_ne_outpost|군다바드 동북 전초기지
p_town_gundabad_nw_outpost|군다바드 서북 전초기지
p_town_goblin_north_outpost|고블릭 북쪽 전초기지
p_town_goblin_south_outpost|고블린 남쪽 전초기지
p_town_gundabad_m_outpost|군다바드 어둠숲 전초기지
p_town_erebor|에레보르
p_town_ironhill_camp| 채석장
p_advcamp_gondor|곤도르 전진 캠프
p_advcamp_rohan|로한 전진 캠프
p_advcamp_isengard|이센가드 전진 캠프
p_advcamp_mordor|모르도르 전진 캠프
p_advcamp_harad|하라드 전진 캠프
p_advcamp_rhun|룬 전진 캠프
p_advcamp_khand|칸드 전진 캠프
p_advcamp_umbar|움바르 전진 캠프
p_advcamp_lorien|로리엔 전진 캠프
p_advcamp_imladris|임라드리스 전진 캠프
p_advcamp_woodelf|어둠숲 전진 캠프
p_advcamp_moria|모리아 전진 캠프
p_advcamp_guldur|돌 굴두르 전진 캠프
p_advcamp_gundabad|군다바드 전진 캠프
p_advcamp_dale|데일 전진 캠프
p_advcamp_dwarf|에레보르 전진 캠프
p_advcamp_dunland|던랜드 전진 캠프
p_advcamp_beorn|베오르닝 전진 캠프
p_argonath|아르고나스
p_argonath2|아르고나스
p_hand_isen|아이센가드의 손표식
p_mount_doom|운명의 산
p_town_barad_dur|바랏-두르
p_ford_cair_andros1|안두인
p_ford_cair_andros2|안두인
p_ford_caras_galadhon|안두인
p_ford_brown_lands|안두인
p_ford_rauros|안두인
p_ford_pelargir|안두인
p_ford_edhellond|안두인
p_ford_cerin_dolen|은강
p_old_ford|오래된 여울
p_ford_erech|링글로
p_ford_isen1|이센
p_ford_isen2|이센
p_ford_rohan|엔트워시
p_ford_rohan2|엔트워시
p_ford_fangorn|엔트워시
p_ford_fangorn2|림라이트
p_ford_moria|은강
p_legend_amonhen|아몬 헨
p_legend_deadmarshes|죽음의 늪
p_legend_mirkwood|어둠숲
p_legend_fangorn|팡고른 엔트뭇
p_ring_hunter_lair|반지 추적자 은신처
p_ancient_ruins|고대 유적
