p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Haltiasatama
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Länsi-Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Itä-Emnet
p_town_westfold|Westfold
p_town_west_emnet|Länsi-Emnet
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Itä-Osgiliath
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Rautapiha
p_town_urukhai_outpost|Uruk Hai etuvartioasema
p_town_urukhai_h_camp|Uruk Hai metsästysleiri
p_town_urukhai_r_camp|Uruk Hai jokileiri
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduilin kartano
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Metsähaltioiden läntinen leiri
p_town_woodsmen_village|Metsämiesten kylä
p_town_beorning_village|Beorningien kylä
p_town_beorn_house|Beornin Talo
p_town_moria|Morian portit
p_town_troll_cave|Peikkojen luola
p_town_dale|Dalet
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunlandereiden leiri
p_town_harad_camp|Haradrimien leiri
p_town_khand_camp|Khandien leiri
p_town_umbar_camp|Corsairien leiri
p_town_imladris_camp|Rivendellien leiri
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Rhunien pääleiri
p_town_rhun_south_camp|Rhun Eteläinen etuvartio
p_town_rhun_north_camp|Rhun Pohjoinen etuvartio
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|Örkkikaupunki
p_town_goblin_south_outpost|Örkkien Eteläinen etuvartio
p_town_gundabad_m_outpost|Gundabadin Synkmetsän etuvartio
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Gondorin etenemisetuvartio
p_advcamp_rohan|Rohanin etenemisetuvartio
p_advcamp_isengard|Rautapihan etenemisetuvartio
p_advcamp_mordor|Mordorin etenemisetuvartio
p_advcamp_harad|Haradin etenemisetuvartio
p_advcamp_rhun|Rhun etenemisetuvartio
p_advcamp_khand|Khandin etenemisetuvartio
p_advcamp_umbar|Umbarin etenemisetuvartio
p_advcamp_lorien|Lorienin etenemisetuvartio
p_advcamp_imladris|Imladriksen etenemisetuvartio
p_advcamp_woodelf|Synkmetsän etenemisetuvartio
p_advcamp_moria|Morian etenemisetuvartio
p_advcamp_guldur|Dol Guldurin etenemisetuvartio
p_advcamp_gundabad|Gundabadin etenemisetuvartio
p_advcamp_dale|Dalen etenemisetuvartio
p_advcamp_dwarf|Ereborin etenemisetuvartio
p_advcamp_dunland|Dunlandin etenemisetuvartio
p_advcamp_beorn|Beorningien etenemisetuvartio
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Rautapihan suuntamerkki
p_mount_doom|Tuomiovuori
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford|Vanha Ford
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
; p_fangorn_center|Fangorn Center
p_ring_hunter_lair|Rinkimetsästäjien pesä
p_raft|Lauttamiehet
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Muinaiset Rauniot
