qst_deliver_message|Doruč zprávu pro {s13}
qst_deliver_message_text|{s9} tě požádal, abys odnesl zprávu {s13}. {s13} byl v {s4}  když ti byl zadán úkol.
qst_deliver_message_to_enemy_lord|Doruč zprávu pro {s13}
qst_deliver_message_to_enemy_lord_text|{s9} tě požádal, abys odnesl zprávu {s13} z {s15} byl. {s13} v {s4} když ti byl zadán úkol.
qst_raise_troops|Vytrénuj {reg1} {s14}
qst_raise_troops_text|{s9} tě požádal, abys vytrénoval {reg1} {s14} a přivedl je k {němu/ni}.
qst_escort_messenger|Doprovoď posla do {s14}
qst_escort_messenger_text|Nic.
qst_hunt_down_fugitive|Zabij {s4}
qst_hunt_down_fugitive_text|{s9} tě požádal, abys zabil uprchlíka jménem {s4}. Právě je v {s3}. 
qst_bring_back_runaway_serfs|Přiveď zpět uprchlé otroky.
qst_bring_back_runaway_serfs_text|{s9} tě požádal, abys přivedl do {s2} zpět tři skupiny uprchlých otroků. Říkal, že všechny tři skupiny musí utíkat směrem k {s3}.
qst_follow_spy|Následuj špeha k setkání. 
qst_follow_spy_text|{s11} tě žádá o sledování špeha, který opustí {s12}. Musíš být opatrný a nespozorovaný špehem během této cesty, nebo se vrátí zpět. Špeh se musí potkat s jeho komplicem, pak na ně zaútoč, zajmi je a vrať je zpět k {s11}.
qst_capture_enemy_hero|Zajmi nepřátelského velitele. 
qst_capture_enemy_hero_text|{s11} tě žádá o uvěznění nepřátelského velitele.
qst_lend_companion|Propůjč mi svého společníka {s3} {s9}
qst_lend_companion_text|{s9} tě žádá o zapůjčení společníka {s3} na jeden týden.
qst_capture_prisoners|Přiveď nepřátelské vězně v počtu {reg1}
qst_capture_prisoners_text|{s9} chce abys mu přivedl nepřátelské vězně v počtu {reg1}.
qst_investigate_fangorn|Prozkoumej Fangorn.
qst_investigate_fangorn_text|{s9} tě požádal, abys zjistil, co se děje ve Fangornském lese, a podal hlášení.
qst_capture_troll|Zajmi trola. 
qst_capture_troll_text|{s9} Požádaly vás, abyste přivedl divokého trolla a použil ho do vaší armády.
qst_kill_troll|Zneškodni rozzuřeného trolla.
qst_kill_troll_text|{s9} tě požádal, aby si zprostil {s13} od hrozby Trolla, řádícího v jeho okolí.
qst_mirkwood_sorcerer|Zabij kouzelníka v Temném hvozdu. 
qst_mirkwood_sorcerer_text|Galadrielina síla bránící Lothorien byla oslabena nečistými rituály černokněžníka z Dol Gulduru. Přesto že je to smrtelník, představuje pro Elfy velkou hrozbu. Hledej ho v lesích Temného hvozdu, nedaleko samotného Dol Gulduru. Na jeho poražení budeš mít pouze jednu šanci, proto využij plížení, abys nespustil poplach a zneškodni ho .
qst_find_lost_spears|Najdi ztracená kopí krále Bladorthina
qst_find_lost_spears_text|{s9} tě požádal, aby si našel ztracená kopí vyrobena trpaslíky pro krále Bladorthina. Musíš trpaslíky požádat o povolení k hledání kopí v hlubinách Osamělé Hory.
qst_defend_village|Ubraň vesnici
qst_raid_village|Vypleň vesnici
qst_destroy_scout_camp|Znič tábor zvědů
qst_rescue_prisoners|Zachraň {reg1} vězňů
qst_rescue_prisoners_text|{s9} chce abys osvobodil {reg1} vězňů.
qst_scout_enemy_town|Prozkoumej nepřátelské město
qst_scout_enemy_town_text|{s9} tě požádal, aby si prozkoumal oblast poblíž {s13}.
qst_dispatch_scouts|Vyšli průzkumnou skupinu.
qst_dispatch_scouts_text|{s9}  tě požádal, aby si vyslal zvědy poblíž {s13}.
qst_eliminate_patrols|Eliminuj {reg1} nepřátelských skupin.
qst_eliminate_patrols_text|{s9} tě žádá o poražení {reg1} {s13} nepřátelských skupin.
qst_lend_surgeon|Půjčit svého chirurga {s3} do {s1}
qst_lend_surgeon_text|Půjč mi zkušeného doktora. {s3} do {s1}.
qst_follow_army|Následuj armádu od {s9}.
qst_follow_army_text|Nic.
qst_report_to_army|Hlas se u {s13}
