imod_plain|ธรรมดา %s
imod_cracked|แย่ %s
imod_rusty|หยาบ %s
imod_bent|เบี้ยว %s
imod_chipped|บิ่น %s
imod_battered|ถูกทำลาย %s
imod_poor|แย่ %s
imod_crude|เรียบง่าย %s
imod_old|โบราณ %s
imod_cheap|ถูก %s
imod_fine|พอใช้ได้ %s
imod_well_made|คุณภาพดี %s
imod_sharp|แหลมคม %s
imod_balanced|สมดุล %s
imod_tempered|บรรเทา %s
imod_deadly|อันตราย %s
imod_exquisite|ประณีต %s
imod_masterwork|ผลงานระดับเยี่ยมยอด %s
imod_heavy|หนัก %s
imod_strong|แข็งแรง %s
imod_powerful|ทรงพลัง %s
imod_tattered|ฉีกขาด %s
imod_ragged|หยาบ %s
imod_rough|หยาบ %s
imod_sturdy|แข็งแรง %s
imod_thick|แข็งแกร่ง %s
imod_hardened|แข็งกล้า %s
imod_reinforced|เสริมความแข็งแรง %s
imod_cloak|เสื้อคลุม %s
imod_lordly|ผลงานระดับเยี่ยมยอด %s
imod_lame|อ่อนแอ %s
imod_swaybacked|หลังที่โค้ง %s
imod_stubborn|ดื้อรั้น %s
imod_timid|ความขี้ขลาด %s
imod_meek|เปื้อนเลือด %s
imod_spirited|ความมุ่งมั่น %s
imod_champion|แชมป์เปี้ยน %s
imod_fresh|สดใหม่ %s
imod_day_old|ค้างคืน %s
imod_two_day_old|ทิ้งไว้ 2 คืน %s
imod_smelling|เริ่มส่งกลิ่น %s
imod_rotten|เน่าเหม็น %s
imod_large_bag|ถุงขนาดใหญ่ %s
