p_town_minas_tirith|ミナス・ティリス
p_town_pelargir|ペラルギア
p_town_linhir|リンヒア
p_town_dol_amroth|ドル・アムロス
p_town_edhellond|エゼルロンド
p_town_lossarnach|ロスサールナッハ
p_town_tarnost|タルノスト
p_town_erech|エレヒ
p_town_pinnath_gelin|ピンナス・ゲリン
p_town_west_osgiliath|西オスギリアス
p_town_henneth_annun|ヘンネス・アンヌーン
p_town_cair_andros|カイア・アンドロス
p_town_calembel|カレンベル
p_town_edoras|エドラス
p_town_aldburg|アルドブルグ
p_town_hornburg|角笛城
p_town_east_emnet|イーストエムネト
p_town_westfold|ウェストフォルド
p_town_west_emnet|ウェストエムネト
p_town_eastfold|イーストフォルド
p_town_morannon|黒門
p_town_minas_morgul|ミナス・モルグル
p_town_cirith_ungol|エミン・ムイル見張り塔
p_town_east_osgiliath|東オスギリアス
p_town_orc_sentry_camp|エミン・アルネン歩哨野営
p_town_isengard|アイゼンガルド
p_town_urukhai_outpost|ウルク＝ハイ前哨
p_town_urukhai_h_camp|ウルク＝ハイ狩猟野営
p_town_urukhai_r_camp|ウルク＝ハイ川辺野営
p_town_caras_galadhon|カラス・ガラゾン
p_town_cerin_dolen|ケリン・ドレン
p_town_cerin_amroth|ケリン・アムロス
p_town_thranduils_halls|スランドゥイルの館
p_town_woodelf_camp|森のエルフの南の野営
p_town_woodelf_west_camp|森のエルフの西の野営
p_town_woodsmen_village|森人の村
p_town_beorning_village|ビヨルン一党の村
p_town_beorn_house|ビヨルンの家
p_town_moria|モリアの門
p_town_troll_cave|トロルの洞窟
p_town_dale|谷間の国
p_town_esgaroth|エスガロス
p_town_dunland_camp|褐色人の野営
p_town_harad_camp|ハラドリムの野営
p_town_khand_camp|ハンドの野営
p_town_umbar_camp|海賊の野営
p_town_imladris_camp|裂け谷の野営
p_town_dol_guldur|ドル・グルドゥア
p_town_dol_guldur_north_outpost|ドル・グルドゥアの街道の前哨
p_town_rhun_main_camp|リューンの野営
p_town_rhun_south_camp|リューン南の前哨
p_town_rhun_north_camp|リューン北の前哨
p_town_gundabad|グンダバド
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|ゴブリン町
p_town_goblin_south_outpost|ゴブリン南の前哨
p_town_gundabad_m_outpost|グンダバド闇の森の前哨
p_town_erebor|エレボール
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|ゴンドール遠征軍野営
p_advcamp_rohan|ローハン遠征軍野営
p_advcamp_isengard|アイゼンガルド遠征軍野営
p_advcamp_mordor|モルドール遠征軍野営
p_advcamp_harad|ハラド遠征軍野営
p_advcamp_rhun|リューン遠征軍野営
p_advcamp_khand|ハンド遠征軍野営
p_advcamp_umbar|ウンバール遠征軍野営
p_advcamp_lorien|ローリエン遠征軍野営
p_advcamp_imladris|イムラドリス遠征軍野営
p_advcamp_woodelf|闇の森のエルフ遠征軍野営
p_advcamp_moria|モリア遠征軍野営
p_advcamp_guldur|ドル・グルドゥア遠征軍野営
p_advcamp_gundabad|グンダバド遠征軍野営
p_advcamp_dale|谷間の国遠征軍野営
p_advcamp_dwarf|エレボール遠征軍野営
p_advcamp_dunland|褐色人遠征軍野営
p_advcamp_beorn|ビヨルン一党遠征軍野営
p_argonath|アルゴナス
p_argonath2|アルゴナス
p_hand_isen|アイゼンガルドの白の手の石
p_mount_doom|滅びの山
p_town_barad_dur|バラド＝ドゥーア
p_ford_cair_andros1|アンドゥイン
p_ford_cair_andros2|アンドゥイン
p_ford_caras_galadhon|アンドゥイン
p_ford_brown_lands|アンドゥイン
p_ford_rauros|アンドゥイン
p_ford_pelargir|アンドゥイン
p_ford_edhellond|アンドゥイン
p_ford_cerin_dolen|銀筋川
p_old_ford|むかしの渡り場
p_ford_erech|リングロ
p_ford_isen1|アイゼン
p_ford_isen2|アイゼン
p_ford_rohan|エント川
p_ford_rohan2|エント川
p_ford_fangorn|エント川
p_ford_fangorn2|白光川
p_ford_moria|銀筋川
p_fangorn_center|ファンゴルン中央
p_ring_hunter_lair|指輪狩り一味の隠れ家
p_raft|いかだの男たち
p_amon_din|アモン・ディン
p_eilenach|アイレナッハ
p_nardol|ナルドル
p_erelas|エレラス
p_min_rimmon|ミン＝リンモン
p_calenhad|カレンハド
p_amon_anwar|アモン・アンワル
p_ancient_ruins|いにしえの廃墟
