; ip_battle_formations|Battle Formations: TLD FormAI
; ip_battle_formations_text|Your troops will position themselves and hold at the beginning of each battle, instead of blindly charging. Only major factions (all 18 of them) use formations (+deserters), bandits will simply charge. There is a slight difference between good and evil factions, good infantry will form shield walls (usually defensive - shielded troops first, but it can form a phalanx if you have pikemen), while evil infantry will form ranks (best troops first). Formations only work in field battles (meaning not in custom battles and sieges).^^Any time in-game that you have a formation form or "Hold", it will set up near the position that the player had when the command was issued: infantry to the left, cavalry to the right, and archers up front. Player troops start every battle in formation.^^Formation key bindings are:^"J" for ranks,^"K" for weapon-based ranks (shieldwall, phalanx),^"L" for wedge (the player ought to reassign the "L" for "Log" mapping)^";" for square,^"U" for no formation (undo formation).^^The "ranks" command for archers puts them in a staggered line. Cavalry will not make any formation other than the wedge.^^Charge (and Dismount for cavalry) will undo a formation. The player may Advance multiple times to have a formation move toward the average position of the enemy. Or use the order panel or hold-F1 to place them (or sweep them across the enemy for the cavalry wedge).^^If you experience any problems with formations, you may revert to the Native AI.
; ip_battle_formations_newformai|Battle Formations: NewFormAI
; ip_battle_formations_newformai_text|NewFormAI enables you to access formations from the orders menu, and command your formations to attack specific enemy formations via the "hold there" command (Hold F1). But it isn't fully tested.^^Use the keyboard NUMBERS to select a division. Press 0 to select your entire force.^^Use F1-F4 to order selected divisions. Keep the F1 key down to place selected divisions. You may target an enemy division through this mechanism."^^The Complex Formations on the Battle Menu are:^- RANKS with best troops up front^- SHIELD WALL, ranks with shields in front and longer weapons in back^- WEDGE with best troops up front^- SQUARE in no particular order^- NO FORMATION^Even in the last case, the player can make formations up to four lines by ordering Stand Closer enough times.^^When ONE division is selected, the center of its front rank is placed at the spot indicated.^^When MANY divisions are selected, they are separated and spread out as if the player were standing at the spot indicated.^^One may memorize the placement of selected divisions relative to the player by pressing F2, F7. Default is infantry to the left, cavalry right, and ranged forward. Placement is overridden for any division the player chooses to personally head through the Formations Options menu.^^If the camp menu game option is set, divisions will rotate to face the enemy. Otherwise, they will maintain the facing that the player had when they were placed.
; ip_battle_morale|Battle Morale (Coherence)
; ip_battle_morale_text|Battle morale is called coherence for sake of differentiation from your party's morale on the main map. However, party morale also affects your party's coherence in battle. So does your and your companions' Leadership skill, the amount of captains and banner carriers on the field, your party's averaqge level and the numerical relation between both sides. Battle field effects like magical mists or certain events may also affect coherence.^^The more casualties your side suffers, the more their morale crumbles. If your coherence falls low, your troops may flee from battle, eventually resulting in a mass rout! You can support your troops in two ways:^^1. Killing enemies. If you do well, you impress your men and they fight harder and don't flee. Killing enemy heroes, banner carriers or high level troops will also hurt their coherence.^^2. Rallying them. Press "V" to encourage your troops and increase your coherence. You also have a chance to rally troops that are already fleeing. You get only a limited amount of rallies per battle! The amount, strength, and range of your rally is affected by your Charisma and Leadership. Your rally is supported by your companions (if they have the leadership skill) and captains.^^It can be quite the advantage if you manage to defeat the enemy commander, because that robs enemies of their leader, so they cannot be rallied.
ip_economy|الاقتصاد
ip_economy_text|لا يوجد مال في TLD. بدلاً من ذلك، تقوم بتطوير علاقات مع الفصائل - ممثلة بالموارد والنفوذ والرتبة.^^الموارد هي ما تحتاجه لدعم الفصيل في الحرب - يمكنك استبدال الخردة والعناصر المنهوبة بها، كما تحصل أيضًا على عدد معين من بدل الموارد كل أسبوع اعتمادًا على رتبتك داخل الفصيل. يمكنك استخدام هذا البدل للحصول على جنود ومعدات وخيول لتقودها ورفقاء ليتبعوك، ولكن فقط إذا قمت بتجميع ما يكفي. تذكر أن لديك مجموعة منفصلة من الموارد/النفوذ/الرتبة لكل فصيل!^تُمنح نقاط النفوذ لإكمال المهام وربح المعارك الصعبة. يمكن إنفاقها لاحقًا على عناصر خاصة كمكافأة من حكام الفصائل التي حصلت على النفوذ معها.^^تسمح لك نقاط الرتبة بالارتقاء في رتب فصيلك - وهذا سيحدد الحد الأقصى لحجم مجموعتك، والدخل الأسبوعي من الموارد، ويفتح أشياء أخرى.^نظرًا للالتزام بالأحداث الأصلية (lore)، قمنا أيضًا بتعطيل خيار ما يسمى بـ "ارتداء الملابس المتقاطعة" افتراضيًا: فمن غير المرجح أن يرتدي الغوندوري دروعًا عفريتية منهوبة، والعكس صحيح. بعد معظم المعارك، ستجد القليل من العناصر أو لا شيء في الغنائم يمكن استخدامها مباشرة. بدلاً من ذلك، يتم إسقاط "خردة معدنية"، والتي تمثل معدات قابلة للإنقاذ ويمكن بعد ذلك إعطاؤها لحداديك الذين يحتاجون إليها، مقابل نقاط موارد.
ip_war_of_the_ring|حرب الخاتم
ip_war_of_the_ring_text|في بداية اللعبة، لم تبدأ الحرب بين الخير والشر بعد. سيتم إعلامك عندما تبدأ. (هذا لا يعتمد على الوقت المستغرق في اللعب، بل على مدى استعداد شخصيتك للحرب.) بينما قد تبدو الأرض الوسطى مكانًا فارغًا وهادئًا في البداية، سرعان ما تمتلئ بالمجموعات المعادية بمجرد أن تبدأ الحرب. كن مستعدًا واستخدم أيام السلام القليلة بحكمة! يمكنك أداء مهام للوردات وقادة جميع الفصائل المتحالفة، وتجميع القوات وتدريب نفسك في الثكنات.^^الحرب نفسها يمكن ربحها أو خسارتها، على عكس اللعبة الأصلية M&B. كل فصيل له تصنيف قوة - والذي يتغير وفقًا لنجاحات أو إخفاقات الفصيل في المعارك. عندما تنخفض القوة بدرجة كافية، يصبح من الممكن للأعداء محاصرة مدن/معسكرات الفصيل. عندما يصل الفصيل إلى أدنى حالة، يمكن هزيمته بالكامل عن طريق اقتحام عاصمته.^^لاحظ أن اللاعب نفسه لا يمكنه بدء الحصارات في TLD. يمكنه فقط مساعدة فصيله وحلفائه في معارك الحصار إذا قرر قادتهم أن الوقت قد حان لاقتحام مستوطنة العدو.^^(هذا قرار تصميمي، وليس خطأ. إنه أيضًا شيء نريد تعديله في الإصدارات المستقبلية، بحيث يصبح خيار الحصار متاحًا، لكنه مكلف للغاية ويصعب الحصول عليه)^^هناك عدة مسارح حرب في TLD، تحددها الجغرافيا. عندما يقضي أحد الجانبين على جميع الأعداء في مسرحه الحالي، سيرسل قوة استطلاعية لمساعدة الحلفاء في المسارح الأخرى. ستبني القوة الاستطلاعية معسكرًا متقدمًا في المسرح الآخر وتعمل من هناك. إذا هُزمت قوى الخير تمامًا، ولكن موردور وآيزنغارد لا تزالان قويتين، فسيقاتل البرجان بعضهما البعض للسيطرة الكاملة.
ip_starting_tips|نصائح البداية
